DOI,Author
10.2307/4330883,588
10.2307/4330882,124
10.2307/4330661,324
10.2307/4330660,324
10.2307/4330663,839
10.2307/4330662,56
10.2307/4330667,59
10.2307/4330666,544
10.2307/4330869,588
10.2307/4330868,407
10.2307/4330867,588
10.2307/4330866,703
10.2307/4330865,818
10.2307/4330864,173
10.2307/4330863,139
10.2307/4330862,137
10.2307/4330861,353
10.1007/s10739-016-9435-x,763
10.2307/29737501,613
10.2307/29737500,64
10.2307/29737503,90
10.2307/29737502,575
10.2307/29737505,233
10.2307/29737504,725
10.2307/29737507,156
10.2307/29737506,397
10.2307/29737509,553
10.2307/29737508,160
10.1007/s10739-014-9382-3,803
10.2307/40271515,794
10.2307/4332009,344
10.2307/4332008,731
10.2307/40271516,115
10.2307/4332003,751
10.2307/4332002,185
10.2307/4332001,127
10.2307/4332000,214
10.2307/4332007,419
10.2307/4332006,59
10.2307/4332005,763
10.2307/4332004,192
10.1007/s10739-014-9375-2,471
10.1007/s10739-012-9339-3,769
10.1007/s10739-014-9379-y,123
10.1007/s10739-014-9384-1,657
10.1007/s10739-014-9384-1,143
10.2307/41653588,332
10.2307/41653589,348
10.1007/s10739-014-9388-x,745
10.2307/4330522,665
10.2307/4330523,540
10.2307/4330520,378
10.2307/4330571,644
10.2307/4330526,206
10.2307/4330527,461
10.2307/4330527,416
10.2307/4330524,400
10.2307/41653567,518
10.2307/41653567,150
10.2307/41653568,319
10.2307/41653569,192
10.2307/4330529,569
10.2307/4331728,82
10.2307/4331723,166
10.2307/4331722,633
10.2307/4331721,243
10.2307/4331720,16
10.2307/4331727,237
10.2307/4331726,491
10.2307/4331725,326
10.2307/4331724,353
10.2307/4330521,786
10.2307/4330525,62
10.2307/4330975,313
10.2307/4330758,839
10.2307/4331437,94
10.2307/4331437,438
10.2307/4331436,30
10.2307/4331435,640
10.2307/4331926,502
10.2307/4331921,422
10.2307/4331432,792
10.2307/4331432,664
10.2307/4331923,792
10.2307/4331430,330
10.2307/4331381,184
10.2307/4331380,191
10.2307/4331383,125
10.2307/4331382,98
