,DOI,Topic,Weight
132,10.2307/41488425,75,0.00315166686058
133,10.2307/41488425,77,0.0707941887902
134,10.2307/41488425,78,0.102306189232
135,10.2307/41488425,81,0.0537422712492
136,10.2307/41488425,83,0.00380057010427
137,10.2307/41488425,104,0.00687298104657
138,10.2307/41488425,107,0.0165846161838
139,10.2307/41488425,111,0.0176676028554
140,10.2307/41488425,122,0.00444481697473
141,10.2307/41488425,124,0.0142386908654
142,10.2307/41488425,130,0.00359762704045
143,10.2307/41488425,134,0.0199474639175
144,10.2307/41488425,158,0.0444079745599
145,10.2307/41488425,161,0.07090714176
146,10.2307/41488425,163,0.0726682960753
147,10.2307/41488425,167,0.00303306900381
148,10.2307/41488425,171,0.00380714295803
149,10.2307/41488425,177,0.0283669066164
150,10.2307/41488425,183,0.00285773074905
151,10.2307/41488425,185,0.00567096665725
152,10.2307/41488425,192,0.0115085969181
153,10.2307/41488396,25,0.200428596767
154,10.2307/41488396,48,0.0355352407615
155,10.2307/41488396,57,0.156404605246
156,10.2307/41488396,67,0.0495466889968
157,10.2307/41488396,77,0.0598646167347
158,10.2307/41488396,163,0.0284317443574
159,10.2307/41488396,187,0.0772393910495
160,10.2307/41488396,198,0.392549116087
161,10.1007/s10739-015-9406-7,1,0.0129390292078
162,10.1007/s10739-015-9406-7,15,0.00530639197008
163,10.1007/s10739-015-9406-7,25,0.0326857903029
164,10.1007/s10739-015-9406-7,28,0.0143722986688
165,10.1007/s10739-015-9406-7,29,0.014602383427
166,10.1007/s10739-015-9406-7,31,0.00602812112337
167,10.1007/s10739-015-9406-7,32,0.020359809103
168,10.1007/s10739-015-9406-7,47,0.0121691261815
169,10.1007/s10739-015-9406-7,48,0.0114244457404
170,10.1007/s10739-015-9406-7,51,0.0229067166184
171,10.1007/s10739-015-9406-7,57,0.0125273316029
172,10.1007/s10739-015-9406-7,61,0.0106468564975
173,10.1007/s10739-015-9406-7,63,0.0067567203167
174,10.1007/s10739-015-9406-7,69,0.00845336106836
175,10.1007/s10739-015-9406-7,77,0.0321955727757
176,10.1007/s10739-015-9406-7,83,0.0174346673382
177,10.1007/s10739-015-9406-7,96,0.00634090099298
178,10.1007/s10739-015-9406-7,104,0.00634815377257
179,10.1007/s10739-015-9406-7,111,0.00597495249258
180,10.1007/s10739-015-9406-7,124,0.0174378377209
181,10.1007/s10739-015-9406-7,134,0.00925219790521
182,10.1007/s10739-015-9406-7,147,0.00456388130181
183,10.1007/s10739-015-9406-7,148,0.0109320667625
184,10.1007/s10739-015-9406-7,158,0.00816148372953
185,10.1007/s10739-015-9406-7,161,0.00428015217984
186,10.1007/s10739-015-9406-7,163,0.161316731644
187,10.1007/s10739-015-9406-7,172,0.00433057717163
188,10.1007/s10739-015-9406-7,177,0.078986409941
189,10.1007/s10739-015-9406-7,178,0.18208016825
190,10.1007/s10739-015-9406-7,179,0.00598882431374
191,10.1007/s10739-015-9406-7,181,0.207973206405
192,10.1007/s10739-015-9406-7,185,0.015193315829
193,10.1007/s10739-015-9406-7,186,0.00500156358267
194,10.1007/s10739-015-9406-7,187,0.00387636423835
195,10.1007/s10739-015-9406-7,192,0.00449065146737
196,10.1007/s10739-015-9406-7,193,0.0166619383579
197,10.1007/s10739-012-9346-4,14,0.00175850491752
198,10.1007/s10739-012-9346-4,15,0.0114407894149
199,10.1007/s10739-012-9346-4,21,0.00325437598373
200,10.1007/s10739-012-9346-4,25,0.0350669167639
201,10.1007/s10739-012-9346-4,28,0.00873666868153
202,10.1007/s10739-012-9346-4,29,0.00542609147623
203,10.1007/s10739-012-9346-4,35,0.00646534207749
204,10.1007/s10739-012-9346-4,45,0.00796132561842
205,10.1007/s10739-012-9346-4,47,0.00653379817709
206,10.1007/s10739-012-9346-4,48,0.00691250210531
207,10.1007/s10739-012-9346-4,51,0.00617940900604
208,10.1007/s10739-012-9346-4,53,0.0518288233819
209,10.1007/s10739-012-9346-4,57,0.0228203232535
210,10.1007/s10739-012-9346-4,64,0.00579902570704
211,10.1007/s10739-012-9346-4,77,0.00896141793585
212,10.1007/s10739-012-9346-4,78,0.0377468711106
213,10.1007/s10739-012-9346-4,79,0.00384435057727
214,10.1007/s10739-012-9346-4,80,0.00843969150328
215,10.1007/s10739-012-9346-4,85,0.00453563959341
216,10.1007/s10739-012-9346-4,97,0.00254550200708
217,10.1007/s10739-012-9346-4,99,0.00287386117441
218,10.1007/s10739-012-9346-4,102,0.00189595224665
219,10.1007/s10739-012-9346-4,108,0.0251771881318
220,10.1007/s10739-012-9346-4,111,0.00195234708138
221,10.1007/s10739-012-9346-4,124,0.0213378975734
222,10.1007/s10739-012-9346-4,148,0.426152384081
223,10.1007/s10739-012-9346-4,158,0.062166584387
224,10.1007/s10739-012-9346-4,161,0.0156006834187
225,10.1007/s10739-012-9346-4,177,0.0669174872696
226,10.1007/s10739-012-9346-4,178,0.0018415790625
