,Identifier,Latitude,Longitude,Name,CountryCode,CountryID
299,5177568,41.099779999999996,-80.64952,Youngstown,US,6252001
300,3448439,-23.5475,-46.636109999999995,São Paulo,BR,3469034
301,3068160,49.74747,13.37759,Pilsen,CZ,3077311
302,498817,59.93863,30.31413,Saint Petersburg,RU,2017370
303,517773,53.986000000000004,38.29469,Novougol’nyy,RU,2017370
304,5224323,41.75038,-71.49978,Rhode Island,US,6252001
305,1277333,12.97194,77.59369000000001,Bengaluru,IN,1269750
306,6101645,44.30012,-78.31623,Peterborough,CA,6251999
307,4644585,36.165890000000005,-86.78444,Nashville,US,6252001
308,3037854,49.9,2.3,Amiens,FR,3017382
309,4945609,42.06677,-71.10365999999999,North Easton,US,6252001
310,298795,39.0,35.0,Turkey,TR,298795
311,5490263,35.68698,-105.9378,Santa Fe,US,6252001
312,4305210,37.66565,-82.77155,Prestonsburg,US,6252001
313,6254925,38.20042,-84.87762,Kentucky,US,6252001
314,1816670,39.9075,116.39723000000001,Beijing,CN,1814991
315,5183234,40.20148,-77.18887,Carlisle,US,6252001
316,3144096,62.0,10.0,Norway,NO,3144096
317,5087168,43.702290000000005,-72.28954,Hanover,US,6252001
318,5197079,40.03788,-76.30551,Lancaster,US,6252001
319,1668341,25.04776,121.53185,Taipei,TW,1668284
320,5359777,33.66946,-117.82311000000001,Irvine,US,6252001
321,5165445,41.29394,-82.21738,Oberlin,US,6252001
322,5110269,40.93815,-73.83208,Bronxville,US,6252001
323,5192726,40.2737,-76.88441999999999,Harrisburg,US,6252001
324,4671654,30.26715,-97.74306,Austin,US,6252001
325,2949186,52.03333,8.53333,Bielefeld,DE,2921044
326,2113015,35.6,140.11667,Chiba,JP,1861060
327,2635167,54.75844,-2.6953099999999997,United Kingdom,GB,2635167
328,294640,31.5,34.75,Israel,IL,294640
329,2453866,18.0,-2.0,Mali,ML,2453866
330,1835841,36.5,127.75,South Korea,KR,1835841
331,2963597,53.0,-8.0,Ireland,IE,2963597
332,3658394,-1.25,-78.25,Ecuador,EC,3658394
333,1880251,1.36667,103.8,Singapore,SG,1880251
334,1733045,2.5,112.5,Malaysia,MY,1733045
335,1668284,24.0,121.0,Taiwan,TW,1668284
336,6252001,39.76,-98.5,United States,US,6252001
337,2635167,54.75844,-2.6953099999999997,United Kingdom,GB,2635167
338,2186224,-42.0,174.0,New Zealand,NZ,2186224
339,2782113,47.33333,13.333329999999998,Austria,AT,2782113
340,6251999,60.10867,-113.64258000000001,Canada,CA,6251999
341,3017382,46.0,2.0,France,FR,3017382
342,2017370,60.0,100.0,Russia,RU,2017370
343,2921044,51.5,10.5,Germany,DE,2921044
344,953987,-29.0,24.0,South Africa,ZA,953987
345,294640,31.5,34.75,Israel,IL,294640
346,390903,39.0,22.0,Greece,GR,390903
347,3144096,62.0,10.0,Norway,NO,3144096
348,2623032,56.0,10.0,Denmark,DK,2623032
349,1269750,22.0,79.0,India,IN,1269750
350,3175395,42.83333,12.83333,Italy,IT,3175395
351,2661886,62.0,15.0,Sweden,SE,2661886
352,2453866,18.0,-2.0,Mali,ML,2453866
353,2077456,-25.0,135.0,Australia,AU,2077456
354,1814991,35.0,105.0,China,CN,1814991
355,2510769,40.0,-4.0,Spain,ES,2510769
356,3469034,-10.0,-55.0,Brazil,BR,3469034
357,2802361,50.75,4.5,Belgium,BE,2802361
358,934292,-20.3,57.583330000000004,Mauritius,MU,934292
359,2750405,52.25,5.75,Netherlands,NL,2750405
360,2629691,65.0,-18.0,Iceland,IS,2629691
361,1835841,36.5,127.75,South Korea,KR,1835841
362,2658434,47.00016,8.01427,Switzerland,CH,2658434
363,2963597,53.0,-8.0,Ireland,IE,2963597
