DOI,AboutLocation,AuthorLocation
10.2307/4331804,6269131,281184
10.2307/4331804,2017370,281184
10.2307/4331805,-1,4780837
10.2307/4331809,-1,-1
10.2307/4331779,6252001,2643743
10.2307/4331598,6269131,-1
10.2307/4331599,2921044,-1
10.2307/4331595,3017382,-1
10.2307/4331596,-1,-1
10.2307/4331597,2921044,-1
10.2307/4331590,6252001,-1
10.2307/4331591,2077456,-1
10.2307/4331592,5744337,-1
10.2307/4331592,5815135,-1
10.2307/4331592,5909050,-1
10.2307/4331593,-1,-1
10.2307/4331110,2921044,4931972
10.2307/4331111,-1,-1
10.2307/4331112,6251999,-1
10.2307/4331116,6269131,4180439
10.2307/4331117,6269131,4843786
10.2307/4331118,6252001,5261457
10.2307/4331119,6252001,4509177
10.2307/4331974,6252001,4839822
10.2307/4331975,6251999,-1
10.2307/4331972,6269131,-1
10.2307/4331973,-1,-1
10.2307/4331970,2921044,-1
10.2307/4330580,2921044,-1
10.2307/4330581,390903,5134086
10.2307/4330733,6269131,-1
10.2307/4330732,3017382,-1
10.2307/4330731,4407066,4407066
10.2307/4330730,6269131,4954380
10.2307/4330737,6269131,-1
10.2307/4330736,390903,-1
10.2307/4330735,-1,-1
10.2307/4330734,2750405,-1
10.2307/4330734,2017370,-1
10.2307/4331604,4347778,-1
10.2307/4331605,6252001,-1
10.2307/4331606,6252001,-1
10.2307/4330738,6269131,-1
10.2307/4331600,-1,-1
10.2307/4331601,-1,-1
10.2307/4331603,3017382,-1
10.2307/4331517,6252001,-1
10.2307/4330587,-1,-1
10.2307/40271536,-1,-1
10.2307/40271537,4155751,-1
10.2307/4331053,6269131,4558942
10.2307/4331510,6252001,2800866
10.2307/4331055,6252001,-1
10.2307/4331054,2921044,4845419
10.2307/4331054,6252001,4845419
10.2307/4330647,3017382,8469294
10.2307/4330646,6269131,5327684
10.2307/4330645,-1,5720727
10.2307/40271531,3658931,5327684
10.2307/4330643,6252001,4835797
10.2307/4330642,453733,-1
10.2307/4331512,6252001,4560349
10.2307/29737523,-1,-1
10.2307/29737522,6252001,-1
10.2307/29737521,6252001,-1
10.2307/29737521,2782113,-1
10.2307/29737520,5327684,-1
10.2307/29737527,6252001,-1
10.2307/29737525,6252001,-1
10.2307/29737524,-1,-1
10.2307/4332000,2921044,-1
10.2307/4331345,2921044,-1
10.2307/4331344,6252001,-1
