DOI,Relation,GeoNamesID
10.2307/4331108,author,2988507
10.2307/4330746,content,6269131
10.2307/4330746,author,5856195
10.2307/4330744,content,3017382
10.2307/4330744,author,4929022
10.2307/4330745,content,4560349
10.2307/4330745,author,5128581
10.2307/4330967,content,2658434
10.2307/4330964,content,6252001
10.2307/4330965,content,6252001
10.2307/4331617,content,3469034
10.2307/4331615,content,2921044
10.2307/4331613,content,2921044
10.2307/4331613,author,2950159
10.2307/4331612,content,6252001
10.2307/4331611,content,6269131
10.2307/4331611,author,4560349
10.2307/4330749,content,2017370
10.2307/4330749,author,524901
10.2307/4330989,content,3017382
10.2307/4330989,author,2965140
10.2307/4330984,content,6269131
10.2307/4330984,content,2750405
10.2307/4330981,content,6252001
10.2307/4330983,content,6269131
10.2307/4330885,content,2658434
10.2307/4330884,content,2921044
10.2307/29737538,content,6252001
10.2307/29737539,content,6252001
10.2307/29737530,content,2921044
10.2307/29737530,author,2193733
10.2307/29737530,content,2921044
10.2307/29737530,author,2190324
10.2307/29737531,content,2782113
10.2307/29737531,author,5363943
10.2307/29737531,content,2921044
10.2307/29737531,author,5363943
10.2307/29737532,content,2802361
10.2307/29737532,author,2792482
10.2307/29737533,content,6252001
10.2307/29737533,author,4509884
10.2307/29737534,content,2755251
10.2307/29737534,author,2755251
10.2307/29737535,content,2017370
10.2307/29737535,author,293788
10.2307/4331803,content,3996063
10.2307/4331803,author,3515431
10.2307/4331772,content,2988507
10.2307/4330777,content,6252001
10.2307/4330777,author,5819244
10.2307/4331378,author,4931482
10.2307/4331379,content,6269131
10.2307/4331379,author,6091104
10.2307/4331370,content,6252001
10.2307/4331371,content,6252001
10.2307/4331371,content,2017370
10.2307/4331373,content,4482348
10.2307/4331376,content,6252001
10.2307/4331377,content,2921044
10.2307/4330513,author,5363943
10.2307/4330512,author,5327684
10.2307/4330511,content,2021044
10.2307/4330511,author,4254679
10.2307/4330511,content,6269131
10.2307/4330511,author,4254679
10.2307/4330510,author,5337696
10.2307/4330517,content,6269131
10.2307/4330515,author,4984247
10.2307/4330514,content,6269131
10.2307/4330514,content,6252001
10.2307/4331572,content,3017382
10.2307/4331572,content,2658434
10.2307/4331573,content,3017382
10.2307/4331570,content,6251999
10.2307/4331571,content,2921044
10.2307/4331576,content,6252001
10.2307/4331577,content,2017370
10.2307/4331574,content,2077456
