Author,Name
476,Charles Darwin
477,Eugene Cittadino
478,Andrea Patterson
479,Roger J Wood
480,Giuditta Parolini
410,Sandra Herbert
482,C Leah Devlin
483,Joseph Cain
343,David Spanagel
794,Doogab Yi
485,Lindley Darden
290,Anton Yu Struchkov
487,Robert De Marrais
488,Wallace W Marshall
489,William Coleman
476,C Darwin
491,Heather Harris
492,Michael Bulmer
493,Jean A Givens
224,Cheryl A Logan
495,Richard E Michod
496,Nicolas Rasmussen
497,Thomas Broman
498,Mary Anne Andrei
213,James Tabery
500,Martin Rudwick
501,Michael Long
502,Mark C Russell
504,Susan E Lederer
505,Jessica Nickrand
506,Margot Iverson
494,Robert Olby
508,Stella V F Butler
509,Diarmid A Finnegan
234,Mark V Barrow Jr
510,Sylvia W Mcgrath
511,Magdalena E Stawkowski
823,Bradley W Hart
512,Staffan MüLler-Wille
332,Robert Kohler
66,Myles W Jackson
515,Jason Oakes
516,Mark B Adams
517,Ryan Cameron Macpherson
518,Nikolai Krementsov
519,Michael Seltzer
520,Benjamin Sylvester Bradley
785,Lynn J Rothschild
522,P J Capelotti
523,Frederick R Davis
524,Hsiao-Pei Yen
525,Alexandre MéTraux
720,Joan Steigerwald
526,Charlotte Weissman
527,Alice Baxter
528,"A G Wheeler, Jr"
529,Jeff Loveland
531,V Orel
532,Frazier Benya
533,Scott Atran
534,A J Lustig
535,John Z Bowers
155,Stephen Jay Gould
537,Guido Caniglia
538,Stefan Linquist
539,David Berol
540,Charles F Mullett
542,Nelio Marco Vincenzo Bizzo
790,Sarah Walsh
544,John C Greene
545,Trevor Pearce
546,George James Grinnell
547,Rodolfo John Alaniz
32,James Moore
549,Ana Carneiro
551,James P Collins
552,Federico Di Trocchio
553,Francisco J Ayala
144,Muriel L Blaisdell
555,Charlotte M Porter
556,Ernest Nagel
557,Matthew K Chew
558,Brandi H Tambasco
559,Thomas Junker
560,Michael H Shank
561,James Larson
562,Erik Ellis
653,Stanley L Becker
166,Manfred Laubichler
564,Elihu M Gerson
95,Olga Amsterdamska
567,Michael J Crowe
568,Michael H Hoffheimer
656,Vyacheslav Gerovitch
570,Everett Mendelsohn
130,Ernest B Hook
517,Ryan C Macpherson
574,L T Evans
576,Norbert A Wetzel
577,Kentwood D Wells
578,F Weiling
175,Nelly Oudshoorn
580,Andrea Civello
581,KäRin Nickelsen
582,Sara Stidstone Gronim
583,David Matless
584,Ton Van Helvoort
585,Jonathan Hodge
586,Robert M Gascoigne
